team1,team2,toss_winner,toss_decision,venue,city,winner,team1_win_rate,team2_win_rate,team1_venue_wins,head_to_head_advantage
Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,field,M Chinnaswamy Stadium,Bangalore,Kolkata Knight Riders,0.4711111111111111,0.5110132158590308,20,-6
Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Chennai Super Kings,0.43891402714932126,0.5799086757990868,14,-2
Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,Feroz Shah Kotla,Delhi,Delhi Capitals,0.4419642857142857,0.49261083743842365,19,-1
Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,bat,Wankhede Stadium,Mumbai,Royal Challengers Bengaluru,0.5512820512820513,0.4711111111111111,38,5
Rajasthan Royals,Punjab Kings,Punjab Kings,bat,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,0.49261083743842365,0.43891402714932126,26,4
Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,"MA Chidambaram Stadium, Chepauk",Chennai,Chennai Super Kings,0.5799086757990868,0.5512820512820513,28,-3
Punjab Kings,Mumbai Indians,Mumbai Indians,field,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Punjab Kings,0.43891402714932126,0.5512820512820513,14,-2
Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,field,M Chinnaswamy Stadium,Bangalore,Rajasthan Royals,0.4711111111111111,0.49261083743842365,20,1
Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,"MA Chidambaram Stadium, Chepauk",Chennai,Chennai Super Kings,0.5799086757990868,0.5110132158590308,28,9
Punjab Kings,Delhi Capitals,Delhi Capitals,bat,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Punjab Kings,0.43891402714932126,0.4419642857142857,14,1
Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,bat,M Chinnaswamy Stadium,Bangalore,Chennai Super Kings,0.4711111111111111,0.5799086757990868,20,-10
Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Eden Gardens,Kolkata,Mumbai Indians,0.5110132158590308,0.5512820512820513,40,-12
Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Feroz Shah Kotla,Delhi,Delhi Capitals,0.4419642857142857,0.4711111111111111,19,-8
Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,0.49261083743842365,0.5110132158590308,26,0
Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",Chennai,Delhi Capitals,0.5799086757990868,0.4419642857142857,28,8
Punjab Kings,Kolkata Knight Riders,Punjab Kings,bat,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Punjab Kings,0.43891402714932126,0.5110132158590308,14,-9
Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Dr DY Patil Sports Academy,Mumbai,Mumbai Indians,0.5512820512820513,0.4419642857142857,3,3
Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,bat,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,0.49261083743842365,0.5799086757990868,26,-3
Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,field,M Chinnaswamy Stadium,Bangalore,Punjab Kings,0.4711111111111111,0.43891402714932126,20,-1
Mumbai Indians,Rajasthan Royals,Mumbai Indians,field,Dr DY Patil Sports Academy,Mumbai,Mumbai Indians,0.5512820512820513,0.49261083743842365,3,1
Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,Feroz Shah Kotla,Delhi,Chennai Super Kings,0.4419642857142857,0.5799086757990868,19,-8
