team1,team2,toss_winner,toss_decision,venue,city,winner
Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,field,M Chinnaswamy Stadium,Bangalore,Kolkata Knight Riders
Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Chennai Super Kings
Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,Feroz Shah Kotla,Delhi,Delhi Capitals
Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,bat,Wankhede Stadium,Mumbai,Royal Challengers Bengaluru
Rajasthan Royals,Punjab Kings,Punjab Kings,bat,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals
Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,"MA Chidambaram Stadium, Chepauk",Chennai,Chennai Super Kings
Punjab Kings,Mumbai Indians,Mumbai Indians,field,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Punjab Kings
Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,field,M Chinnaswamy Stadium,Bangalore,Rajasthan Royals
Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,"MA Chidambaram Stadium, Chepauk",Chennai,Chennai Super Kings
Punjab Kings,Delhi Capitals,Delhi Capitals,bat,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Punjab Kings
Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,bat,M Chinnaswamy Stadium,Bangalore,Chennai Super Kings
Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Eden Gardens,Kolkata,Mumbai Indians
Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Feroz Shah Kotla,Delhi,Delhi Capitals
Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals
Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",Chennai,Delhi Capitals
Punjab Kings,Kolkata Knight Riders,Punjab Kings,bat,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Punjab Kings
Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Dr DY Patil Sports Academy,Mumbai,Mumbai Indians
Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,bat,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals
Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,field,M Chinnaswamy Stadium,Bangalore,Punjab Kings
Mumbai Indians,Rajasthan Royals,Mumbai Indians,field,Dr DY Patil Sports Academy,Mumbai,Mumbai Indians
Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,Feroz Shah Kotla,Delhi,Chennai Super Kings
Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,bat,Eden Gardens,Kolkata,Kolkata Knight Riders
Chennai Super Kings,Punjab Kings,Punjab Kings,field,"MA Chidambaram Stadium, Chepauk",Chennai,Chennai Super Kings
Rajasthan Royals,Delhi Capitals,Rajasthan Royals,field,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals
Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,bat,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Punjab Kings
Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,Eden Gardens,Kolkata,Kolkata Knight Riders
Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,Wankhede Stadium,Mumbai,Mumbai Indians
Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Wankhede Stadium,Mumbai,Mumbai Indians
Delhi Capitals,Punjab Kings,Delhi Capitals,bat,Feroz Shah Kotla,Delhi,Punjab Kings
Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals
Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Eden Gardens,Kolkata,Chennai Super Kings
Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,field,M Chinnaswamy Stadium,Bangalore,Delhi Capitals
Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Eden Gardens,Kolkata,Rajasthan Royals
Mumbai Indians,Punjab Kings,Mumbai Indians,field,Wankhede Stadium,Mumbai,Punjab Kings
Chennai Super Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,bat,"MA Chidambaram Stadium, Chepauk",Chennai,Royal Challengers Bengaluru
Delhi Capitals,Mumbai Indians,Delhi Capitals,field,Feroz Shah Kotla,Delhi,Delhi Capitals
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,"MA Chidambaram Stadium, Chepauk",Chennai,Rajasthan Royals
Kolkata Knight Riders,Punjab Kings,Punjab Kings,bat,Eden Gardens,Kolkata,Kolkata Knight Riders
Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals
Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,M Chinnaswamy Stadium,Bangalore,Mumbai Indians
Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Punjab Kings
Delhi Capitals,Rajasthan Royals,Delhi Capitals,field,Wankhede Stadium,Mumbai,Rajasthan Royals
Chennai Super Kings,Punjab Kings,Punjab Kings,bat,Wankhede Stadium,Mumbai,Chennai Super Kings
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Dr DY Patil Sports Academy,Mumbai,Rajasthan Royals
Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,Newlands,Cape Town,Mumbai Indians
Royal Challengers Bengaluru,Rajasthan Royals,Royal Challengers Bengaluru,bat,Newlands,Cape Town,Royal Challengers Bengaluru
Delhi Capitals,Punjab Kings,Delhi Capitals,field,Newlands,Cape Town,Delhi Capitals
Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,bat,St George's Park,Port Elizabeth,Chennai Super Kings
Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Kingsmead,Durban,Kolkata Knight Riders
Chennai Super Kings,Delhi Capitals,Delhi Capitals,bat,Kingsmead,Durban,Delhi Capitals
Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Newlands,Cape Town,Rajasthan Royals
Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,bat,Kingsmead,Durban,Punjab Kings
Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,bat,St George's Park,Port Elizabeth,Delhi Capitals
Punjab Kings,Rajasthan Royals,Punjab Kings,bat,Newlands,Cape Town,Punjab Kings
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,St George's Park,Port Elizabeth,Mumbai Indians
Delhi Capitals,Rajasthan Royals,Delhi Capitals,bat,SuperSport Park,Centurion,Rajasthan Royals
Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kingsmead,Durban,Royal Challengers Bengaluru
Punjab Kings,Mumbai Indians,Punjab Kings,bat,Kingsmead,Durban,Punjab Kings
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,SuperSport Park,Centurion,Chennai Super Kings
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Buffalo Park,East London,Mumbai Indians
Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,bat,Kingsmead,Durban,Royal Challengers Bengaluru
Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,New Wanderers Stadium,Johannesburg,Chennai Super Kings
Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,St George's Park,Port Elizabeth,Punjab Kings
Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,bat,New Wanderers Stadium,Johannesburg,Royal Challengers Bengaluru
Punjab Kings,Rajasthan Royals,Punjab Kings,field,Kingsmead,Durban,Rajasthan Royals
Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kingsmead,Durban,Delhi Capitals
Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,field,SuperSport Park,Centurion,Rajasthan Royals
Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,SuperSport Park,Centurion,Chennai Super Kings
Delhi Capitals,Mumbai Indians,Mumbai Indians,bat,Buffalo Park,East London,Delhi Capitals
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,De Beers Diamond Oval,Kimberley,Chennai Super Kings
Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,bat,St George's Park,Port Elizabeth,Mumbai Indians
Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,field,New Wanderers Stadium,Johannesburg,Delhi Capitals
Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,field,SuperSport Park,Centurion,Royal Challengers Bengaluru
Punjab Kings,Mumbai Indians,Punjab Kings,bat,SuperSport Park,Centurion,Mumbai Indians
Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,bat,Kingsmead,Durban,Royal Challengers Bengaluru
Mumbai Indians,Rajasthan Royals,Rajasthan Royals,bat,Kingsmead,Durban,Rajasthan Royals
Delhi Capitals,Punjab Kings,Punjab Kings,field,OUTsurance Oval,Bloemfontein,Punjab Kings
Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,St George's Park,Port Elizabeth,Chennai Super Kings
Delhi Capitals,Rajasthan Royals,Delhi Capitals,bat,OUTsurance Oval,Bloemfontein,Delhi Capitals
Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,SuperSport Park,Centurion,Kolkata Knight Riders
Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,bat,New Wanderers Stadium,Johannesburg,Royal Challengers Bengaluru
Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Kingsmead,Durban,Kolkata Knight Riders
Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,Kingsmead,Durban,Chennai Super Kings
Delhi Capitals,Mumbai Indians,Delhi Capitals,field,SuperSport Park,Centurion,Delhi Capitals
Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,field,New Wanderers Stadium,Johannesburg,Royal Challengers Bengaluru
Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Brabourne Stadium,Mumbai,Mumbai Indians
Punjab Kings,Delhi Capitals,Delhi Capitals,field,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Delhi Capitals
Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,field,Eden Gardens,Kolkata,Kolkata Knight Riders
Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,"Sardar Patel Stadium, Motera",Ahmedabad,Delhi Capitals
Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,bat,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bengaluru
Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,bat,Eden Gardens,Kolkata,Chennai Super Kings
Delhi Capitals,Mumbai Indians,Delhi Capitals,field,Feroz Shah Kotla,Delhi,Mumbai Indians
Royal Challengers Bengaluru,Rajasthan Royals,Royal Challengers Bengaluru,field,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bengaluru
Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,Feroz Shah Kotla,Delhi,Chennai Super Kings
Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,"Sardar Patel Stadium, Motera",Ahmedabad,Rajasthan Royals
Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,bat,Brabourne Stadium,Mumbai,Royal Challengers Bengaluru
Chennai Super Kings,Punjab Kings,Chennai Super Kings,field,"MA Chidambaram Stadium, Chepauk",Chennai,Punjab Kings
Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,bat,Brabourne Stadium,Mumbai,Mumbai Indians
Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,field,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bengaluru
Punjab Kings,Rajasthan Royals,Punjab Kings,field,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Rajasthan Royals
Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,"Brabourne Stadium, Mumbai",Mumbai,Mumbai Indians
Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,field,M Chinnaswamy Stadium,Bangalore,Delhi Capitals
Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Kolkata Knight Riders
Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,"Sardar Patel Stadium, Motera",Ahmedabad,Rajasthan Royals
Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,bat,Feroz Shah Kotla,Delhi,Delhi Capitals
Mumbai Indians,Punjab Kings,Mumbai Indians,field,Brabourne Stadium,Mumbai,Mumbai Indians
Chennai Super Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,bat,"MA Chidambaram Stadium, Chepauk",Chennai,Chennai Super Kings
Delhi Capitals,Rajasthan Royals,Delhi Capitals,bat,Feroz Shah Kotla,Delhi,Delhi Capitals
Punjab Kings,Royal Challengers Bengaluru,Punjab Kings,bat,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Royal Challengers Bengaluru
Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",Chennai,Chennai Super Kings
Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,bat,Eden Gardens,Kolkata,Punjab Kings
Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,bat,Feroz Shah Kotla,Delhi,Delhi Capitals
Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",Chennai,Chennai Super Kings
Rajasthan Royals,Punjab Kings,Punjab Kings,bat,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals
Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,Eden Gardens,Kolkata,Kolkata Knight Riders
Punjab Kings,Mumbai Indians,Mumbai Indians,bat,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Punjab Kings
Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,field,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bengaluru
Delhi Capitals,Punjab Kings,Delhi Capitals,bat,Feroz Shah Kotla,Delhi,Punjab Kings
Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,Sawai Mansingh Stadium,Jaipur,Mumbai Indians
Mumbai Indians,Delhi Capitals,Mumbai Indians,bat,Brabourne Stadium,Mumbai,Mumbai Indians
Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,"MA Chidambaram Stadium, Chepauk",Chennai,Chennai Super Kings
Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,bat,Sawai Mansingh Stadium,Jaipur,Royal Challengers Bengaluru
Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",Chennai,Delhi Capitals
Royal Challengers Bengaluru,Mumbai Indians,Royal Challengers Bengaluru,field,M Chinnaswamy Stadium,Bangalore,Mumbai Indians
Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,bat,Eden Gardens,Kolkata,Kolkata Knight Riders
Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,Himachal Pradesh Cricket Association Stadium,Dharamsala,Chennai Super Kings
